Examen,Bloque/Tipo,N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
2025-I,Medicina Tipo B,33,"La ética sugiere aquello que es deseable y condena lo que no debe hacerse, mientras que la deontología cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. ¿Con qué debe contar un profesional de la salud para su ejercicio profesional?",Diplomados,Currículo vitae documentado,Estudios de posgrado,"Título profesional, colegiatura",D,"Título profesional, colegiatura"
2025-I,Medicina Tipo B,34,"Gestante de 36 años de edad, acude con cefalea intensa y visión borrosa; antecedente: HTA. Al examen: REG, BEN, BEH, LOTEP, FC: 70X'; FR: 20X'; T°: 36.8°C; PA: 170/110mmHg; edema en miembros inferiores sin fóvea. Laboratorio: creatinina 1.2 mg/dl, plaquetas: 150.000/mm3. ¿Cuál es la conducta a seguir?",Sulfato de magnesio intravenoso,Administrar nifedipino vía oral,Transfusión de plaquetas,Finalizar el embarazo,A,Sulfato de magnesio intravenoso
2025-I,Medicina Tipo B,35,¿Cuál es la sospecha diagnóstica de cáncer infantil más probable cuando hay un aumento no controlado de glóbulos blancos en la médula ósea?,Neuroblastoma,Tumor de Wilms,Leucemia,Linfoma,C,Leucemia
2025-I,Medicina Tipo B,36,La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer y analizar prioritariamente?,Promotores de salud y responsable de promoción de la salud,Coordinadores de red y responsable de epidemiología,Todo el personal de salud y autoridades locales,El responsable de epidemiologia y jefe de establecimiento,C,Todo el personal de salud y autoridades locales
2025-I,Medicina Tipo B,37,"Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las Funciones Esenciales de Salud Pública. ¿A qué función corresponde?",Asegurar el acceso y el uso racional de medicamentos,Financiamiento de la salud eficiente y equitativo,Acceso equitativo a servicios de salud integrales y de calidad,Desarrollo de recursos humanos para la salud,C,Acceso equitativo a servicios de salud integrales y de calidad
2025-I,Medicina Tipo B,38,"En una institución educativa primaria de 100 alumnos, se presenta un brote de varicela con 50 casos. ¿Cuál es el indicador y el valor que corresponde para caracterizar el riesgo?","Tasa de incidencia, 50%","Razón de prevalencia, 50%","Tasa de prevalencia, 500 x 1000 hab","Tasa de ataque, 50%",A,"Tasa de incidencia, 50%"
2025-I,Medicina Tipo B,39,"La transmisión del dengue a un huésped susceptible se da a través de la picadura de un zancudo hembra infectado (Aedes aegypti), estos zancudos pican preferentemente ...... y transmiten la enfermedad a varias personas durante toda su vida.",solo en época de lluvias,al atardecer y durante la noche,al amanecer y al atardecer,a medio día y sin lluvia,C,al amanecer y al atardecer
2025-I,Medicina Tipo B,40,"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es el nivel de atención en el que se encuentra?",I-3,I-1,I-4,I-2,D,I-2
2025-I,Medicina Tipo B,41,"Varón de 20 años HSH, que acude a la consulta por presentar erupciones genitales y orales, además dolor ano-rectal y sangrado leve. Ha tenido dolor de cabeza, fiebre, mialgias y adenopatías cervicales hace 2 días. ¿Cuál es el tipo de diagnóstico de viruela del mono?",Sospechoso,Contacto directo,Caso secundario,Confirmado,A,Sospechoso
2025-I,Medicina Tipo B,42,"Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo de determinante social de la salud se está abordando?",Comercial,Económico,Estructural,Intermedio,C,Estructural
2025-I,Medicina Tipo B,43,"Para investigar la relación entre la anemia y la talla de niños de 5° grado de primaria de un colegio, usted acude un día de la semana para medir la Hb y talla a todos ellos. ¿Qué enfoque de investigación está realizando?",Observacional,Cualitativo,Cuantitativo,Mixto,C,Cuantitativo
2025-I,Medicina Tipo B,44,"Niño de 3 años de edad, no tiene controles en crecimiento y desarrollo, por lo que el personal de salud acude a su casa para evaluarlo. ¿Cómo demostraría que está en riesgo nutricional?",Curva Peso/Talla de lento crecimiento,Pérdida lenta de peso,Acercamiento a la mediana,Curva Peso/Talla es plana,D,Curva Peso/Talla es plana
2025-I,Medicina Tipo B,45,Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué medida inmediata hubiera tomado para manejar esta situación?,Notificarlo al nivel inmediato superior,Medidas de mejora en el EESS,Informar a los familiares,Mejorar el proceso de atención sanitaria en EESS,A,Notificarlo al nivel inmediato superior
2025-I,Medicina Tipo B,46,"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",El aumento en la incidencia de enfermedades,El surgimiento de nuevas enfermedades,La aparición de enfermedades epidémicas,Las crisis psicosociales,A,El aumento en la incidencia de enfermedades
2025-I,Medicina Tipo B,47,"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, FR: 28X'. ¿Qué tipo de dengue es?",Hemorrágico con signos de alarma,Confirmado sin signos de alarma,Probable con signos de alarma,Grave,C,Probable con signos de alarma
2025-I,Medicina Tipo B,48,Se reportan 2 casos de peste en el hospital y se ha restringido el ingreso. Los casos son de la comunidad y no se sabe si hay más casos. ¿Cuál es la medida inicial a tomar?,Medidas de bioseguridad e identificar las casas de infectados,Medidas de control químico de pulgas,Control de roedores,Ordenamiento ambiental,A,Medidas de bioseguridad e identificar las casas de infectados
2025-I,Medicina Tipo B,49,Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...,incluye los procedimientos del proceso de la práctica «centinela».,usa mediciones sistemáticas.,usan datos específicos de información adicional.,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,D,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.
2025-I,Medicina Tipo B,50,"Usted va a realizar un estudio sobre la obesidad infantil en un colegio de la pequeña comunidad donde labora, pero el director le pide que los padres autoricen voluntariamente la participación de sus menores hijos. ¿Qué documento debe usar para este cometido?",Consentimiento informado,Compromiso paterno,Carta de investigación,Asentimiento informado,A,Consentimiento informado
2025-I,Medicina Tipo B,51,"Para investigar la relación entre la anemia y el peso de niños de 6° grado de primaria de un colegio, usted acude un día de la semana para medir la Hb y el peso a todos ellos. ¿Qué método de investigación está realizando?",Observacional,Mixto,Experimental,Cuasi experimental,A,Observacional
2025-I,Medicina Tipo B,52,"Paciente mujer de 50 años, afroamericana, últimamente ha presentado zumbido de oído y visión borrosa, niega antecedentes personales patológicos. Examen: LOTEP, BEG, BEN, BEH; FC: 80X'; FR: 20X'; T°: 37°C; PA: 140/90mmHg, IMC: 32. ¿Cuál es la conducta ideal a seguir?",Realizar una nueva toma de PA,Iniciar tratamiento farmacológico,Confirmar presunción diagnóstica con AMPA,Confirmar presunción diagnóstica con MAPA,D,Confirmar presunción diagnóstica con MAPA
2025-I,Medicina Tipo B,53,"En pro de la salud y el desarrollo social entre los diferentes actores, en los distintos niveles de gobierno y de la sociedad, lo primero que se debe fortalecer son las...",decisiones multisectoriales.,alianzas estratégicas.,coordinaciones intersectoriales.,capacidades de gestión.,B,alianzas estratégicas.
2025-I,Medicina Tipo B,54,Se labora en un establecimiento de salud donde no hay una visión definida sobre el trabajo que se realiza; y existen muchos problemas interpersonales. Si se desea cambiar esta situación. ¿Qué se debe mejorar?,Plan de acción,Recursos humanos,Proyecto de mejora,Clima organizacional,D,Clima organizacional
2025-I,Medicina Tipo B,55,Ante la presencia de un caso probable de Tos Ferina. ¿Cuáles son las medidas a implementar?,"Jornada de vacunación, quimioprofilaxis, búsqueda de contactos indirectos","Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal","Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso","Censo de contactos, barrido vacunal, investigación del caso índice",B,"Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal"
2025-I,Medicina Tipo B,56,"¿Qué se define como la forma característica de pensar y hacer las cosas en una entidad, en base a principios, valores, creencias, conductas y normas?",Valores institucionales,Cultura organizacional,Clima organizacional,Principios institucionales,B,Cultura organizacional
2025-I,Medicina Tipo B,57,"¿Cuál es el tipo de prevención cuyo objetivo es disminuir el avance y las complicaciones de la enfermedad establecida, mediante acciones orientadas a disminuir las secuelas y la discapacidad?",Cuaternaria,Terciaria,Primaria,Secundaria,B,Terciaria
2025-I,Medicina Tipo B,58,"En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de cambiar, se identifican como:",Debilidades,Oportunidades,Amenazas,Negatividad,C,Amenazas
2025-I,Medicina Tipo B,59,"En relación al almacenamiento de medicamentos: “Las condiciones de almacenamiento deben ser las recomendadas por el …… y autorizadas en el rotulado del producto, pudiendo ser de congelación, temperatura de refrigeración, temperatura ambiente y temperatura ambiente controlada, lo cual debe estar indicado en su procedimiento …… de almacenamiento.”",jefe / establecido,fabricante / operativo,director / organizativo,farmacéutico / rutinario,B,fabricante / operativo
2025-I,Medicina Tipo B,60,"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar disponibles en todo momento?",Básicos,Comunes,Genéricos,Esenciales,D,Esenciales
2025-I,Medicina Tipo B,61,Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe considerar para el archivo pasivo de historias clínicas que no han sido requeridas?,Más de 10,Más de 15,Más de 1,Más de 5,D,Más de 5
2025-I,Medicina Tipo B,62,Usted trabaja en un centro de salud y advierte que la población que acude son personas adultas mayores en un 80%. ¿Qué medida inicial puede tomar para mejorar su atención?,Promover la educación en la comunidad,Tener un enfoque de derechos,Favorecer la participación de la familia,Fortalecer su equipo multidisciplinario,D,Fortalecer su equipo multidisciplinario
2025-I,Medicina Tipo B,63,"Personal de serenazgo, lleva al centro de salud a un paciente adulto mayor con problemas de salud y sin familiares, presenta indigencia y sin documentos. ¿Qué derecho se le atribuye?",Consentimiento informado,Acceso a la información,Recuperación,Acceso a servicios de salud,D,Acceso a servicios de salud
2025-I,Medicina Tipo B,64,"Un profesional de la salud desea realizar una ecografía, pero no cuenta en su centro con ese apoyo diagnóstico. Para realizar una referencia a otro establecimiento de salud. ¿Qué debe evaluar?",Categorización,Flujograma,Organigrama,Cartera de servicios,D,Cartera de servicios
2025-I,Medicina Tipo B,65,"¿Cuál es la medida de tendencia central que se interpreta como el promedio de los datos, y se construye con la suma de todos los datos observados entre el total de observaciones?",Rango,Mediana,Moda,Media,D,Media
2025-I,Medicina Tipo B,66,"Mujer de 52 años acude al establecimiento refiriendo sequedad vaginal y dispareunia desde hace unos 6 meses, tiene antecedente de menopausia hace un año. ¿Cuál es la conducta más apropiada para esta paciente?",Recomendar uso de lubricante vaginal,Referir a especialista de ginecología,Prescribir estrógeno local vaginal,Prescribir terapia de reemplazo hormonal,C,Prescribir estrógeno local vaginal
2025-I,Medicina Tipo B,67,"¿A qué corresponde la siguiente definición?: “Es la condición ideal en la población en la que todos tienen la oportunidad de acceder al cuidado de su salud y acceder a atenciones de salud, en el momento que lo requiera, y que no sea alterada por razones evitables y por tanto injustas”",Calidad,Equidad en salud,Universalidad,Integralidad,B,Equidad en salud
2025-I,Medicina Tipo B,68,"Usted desea motivar a su personal de salud para realizar una investigación científica sobre la anemia infantil en su comunidad, para ello les dice que el principal propósito de la investigación científica es...",consolidar el trabajo en equipo.,generar conocimiento científico útil.,captar inversiones en salud.,mejorar la gestión de la salud.,B,generar conocimiento científico útil.
2025-I,Medicina Tipo B,69,"Madre quechua hablante de 30 años, tiene niño de un año con diarrea y deshidratación; ella niega su atención en el establecimiento de salud, porque según su creencia el caso corresponde a “susto” y lo debe atender el curandero. ¿Cómo procedes ante este caso?","Llegas a un acuerdo en la terapia del niño, respetando sus creencias",Discrepas con su decisión porque no es correcto,Solicitar al presidente de la comunidad que intervenga,Constatar con la policía y la autoridad comunal,A,"Llegas a un acuerdo en la terapia del niño, respetando sus creencias"
2025-I,Medicina Tipo B,70,Dentro de las intervenciones de promoción de la salud. El programa “familia saludable” considera a la a familia como la unidad de ...... de mayor eficacia.,análisis,soporte,intervención,riesgo,C,intervención
2025-I,Medicina Tipo B,71,"El C.S. Paz, ha sectorizado su jurisdicción para realizar intervenciones de promoción y prevención basados en el Modelo de Cuidado Integral de la Familia y Comunidad por Curso de Vida. En el marco de las Funciones Esenciales de la Salud Pública renovada, esta acción corresponde a la etapa de:",Desarrollo de políticas,Evaluación,Asignación de recursos,Acceso,D,Acceso
2025-I,Medicina Tipo B,72,"En el centro de salud de Lamas, reportan que un varón de 30 años, presenta fiebre, malestar general, sangrado y shock. Se informa que han aparecido muchos más casos en estos días y se sospecha de un brote de fiebre amarilla. Siendo Ro: el número promedio de casos nuevos que genera un caso dado a lo largo de un período infeccioso. ¿Cuál es el Ro que se espera tener en brote de fiebre amarilla?",Ro > 0.5,Ro > 1,Ro = 0,Ro < 1,B,Ro > 1
2025-I,Medicina Tipo B,73,Dentro del modelo de atención integral en la etapa de vida adulto mayor. ¿Qué test de valoración de deterioro cognitivo puede aplicar en el primer nivel de atención?,De Yesavage,MOCA,Del reloj,De Pfeiffer,D,De Pfeiffer
2025-I,Medicina Tipo B,74,"Según la historia natural de la enfermedad, identificar una persona con diabetes en la fase subclínica corresponde al periodo ...... y el nivel de prevención es...",patogénico / secundario.,pre patogénico / secundario.,patogénico / terciario.,patogénico / primario.,A,patogénico / secundario.
2025-I,Medicina Tipo B,75,"Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad de la Atención en Salud corresponde seguir?",De caso,Dirimente,Regular,Externa,A,De caso
2025-I,Medicina Tipo B,76,Al llegar a su comunidad de SERUMS observa que hay baja adherencia a la lactancia materna por lo cual plantea hacer una investigación sobre factores asociados a lactancia materna. ¿Qué debe realizar en primer lugar para su estudio?,Revisar literatura científica sobre el tema,Elaborar su pregunta de investigación,Elegir los objetivos de estudio,Definir sus instrumentos de medición,A,Revisar literatura científica sobre el tema
2025-I,Medicina Tipo B,77,El personal de un establecimiento de salud desea saber lo que debe desarrollar prioritariamente. ¿Qué componente debe conocer para orientar sus objetivos estratégicos?,FODA,Misión,Valores,Visión,B,Misión
2025-I,Medicina Tipo B,78,"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes firman y el personal interviene atendiendo.",justicia,consentimiento informado,autorización,beneficencia,B,consentimiento informado
2025-I,Medicina Tipo B,79,"¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, prevención, recuperación o rehabilitación de las enfermedades”.",Telemonitoreo,Teleconsulta,Teleorientación,Teleinterconsulta,C,Teleorientación
2025-I,Medicina Tipo B,80,"En adultos de 18 años a más con HTA esencial, sin otras comorbilidades. ¿Qué grupo farmacológico se debe prescribir como primera elección?",Inhibidores de aldosterona,Diuréticos de asa,Betabloqueadores,Diuréticos tiazídicos,D,Diuréticos tiazídicos
2025-I,Medicina Tipo B,81,"Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?",Denegarle la atención,Enviarla a otro establecimiento,Persuadir su deseo,Respetar su pedido,D,Respetar su pedido
2025-I,Medicina Tipo B,82,"Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición considera fue contrarreferido?",Curado,Mejorado,Deserción,Retiro voluntario,B,Mejorado
2025-I,Medicina Tipo B,83,"Mujer de 55 años, señala que su esposo se hizo prueba de papilomavirus y salió positiva. Acude a control al centro materno y le realizan tamizaje con PAP que salió positivo. ¿Qué prueba está en el siguiente paso en el flujograma de atención de cáncer de cuello uterino?",Curetaje endocervical,Tomar biopsias,Colposcopía,Nuevo PAP,C,Colposcopía
2025-I,Medicina Tipo B,84,¿Cuáles son los principales ejes estratégicos que garantizan el éxito de la participación comunitaria en la planeación en salud?,"El abordaje territorial, espacios participativos y la familia como base",La actitud política y el esfuerzo de la administración local,Los cambios en la realidad económico-social y ordenanzas municipales,La participación comunitaria y escuelas saludables,A,"El abordaje territorial, espacios participativos y la familia como base"
2025-I,Medicina Tipo B,85,"Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario según normativa?",Área de internamiento,Depósito y lavado de carros,Zona de almacenamiento de residuos contaminados,Zona de selección de residuos sólidos,D,Zona de selección de residuos sólidos
2025-I,Medicina Tipo B,86,"En un establecimiento de salud que tiene bajos indicadores de desempeño, se desea realizar un concepto compartido para un futuro mejor, pues cada quien tiene una idea diferente de lo que se quiere lograr. ¿Qué componente estratégico se debe plantear entre todos?",Visión,FODA,Misión,Valores,A,Visión
2025-I,Medicina Tipo B,87,"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Estilo de vida,Práctica,Hábito saludable,Autocuidado,A,Estilo de vida
2025-I,Medicina Tipo B,88,En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los sensores?,Dependientes del sistema de monitoreo,Con exactitud de aproximadamente 0.3°C,Deben estar calibrados,Áreas con poca variabilidad en temperatura,C,Deben estar calibrados
2025-I,Medicina Tipo B,89,"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que se espera alcanzar en los próximos tres años.",instrumento de articulación,herramienta de articulación,instrumento de gestión,herramienta de gestión,C,instrumento de gestión
2025-I,Medicina Tipo B,90,"Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?",Cuidado integral,Curso de vida,Vías de cuidados,Determinante social,B,Curso de vida
2025-I,Medicina Tipo B,91,¿Cuándo indicaría usted iniciar la higiene oral para generar el hábito saludable del cepillado dental?,A partir del año de vida,Al completar su dentadura decidua,Durante los primeros seis meses de vida,En cualquier momento de la vida,C,Durante los primeros seis meses de vida
2025-I,Medicina Tipo B,92,"Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?",Artículo original,Revisión sistemática,Carta al editor,Reporte de caso,B,Revisión sistemática
2025-I,Medicina Tipo B,93,"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Metodología,Introducción,Resultados,Marco teórico,A,Metodología
2025-I,Medicina Tipo B,94,Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?,Probabilístico,Descriptivo,Inductivo,Inferencial,D,Inferencial
2025-I,Medicina Tipo B,95,"En su comunidad observa con mucha frecuencia casos de alcoholismo en varones y también violencia física de ellos contra sus esposas, para investigar en el menor tiempo posible, si hay asociación entre el alcoholismo y la violencia familiar. ¿Qué diseño de estudio elegirá?",Analítico,Cuasi experimental,Descriptivo,Cohortes,A,Analítico
2025-I,Medicina Tipo B,96,"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la …... y la prevalencia que mide la …… de la enfermedad.",virulencia / frecuencia,casos antiguos / casos nuevos,proporción / frecuencia,velocidad / magnitud,D,velocidad / magnitud
2025-I,Medicina Tipo B,97,En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para verificarla?,Revisión de Turniting,Matriz de operacionalización,Lista de verificación,Matriz de consistencia,D,Matriz de consistencia
2025-I,Medicina Tipo B,98,"En el centro de salud, al colocar un inyectable intramuscular a un paciente, el personal se pincha el dedo pulgar. El status VIH del paciente es desconocido. ¿Qué acciones debe realizarse inmediatamente?",Se valora la severidad del accidente ocupacional,"Realizarse serologías para VIH basal, a las 6 semanas y a los 3 meses",Lavarse la herida con agua y tomar los antirretrovirales lo antes posible,Se debe iniciar los ARV a las 72 horas post-exposición,C,Lavarse la herida con agua y tomar los antirretrovirales lo antes posible
2025-I,Medicina Tipo B,99,¿Cuál es la mejor conducta frente a un personal de salud asistencial que no puede acreditar su vacunación previa contra el virus de Hepatitis B en el primer nivel de atención?,Vacunación desde la primera dosis,No es obligatoria su vacunación,Referencia a un hospital,Vacunación de una dosis de refuerzo,A,Vacunación desde la primera dosis
2025-I,Medicina Tipo B,100,"Debido a que se observaron muchos casos de suicidios en adolescentes en la comunidad donde usted labora, le encargan realizar un estudio descriptivo sobre la depresión en adolescentes en su comunidad ¿Cuál será la principal limitante del estudio?",No permitirá hallar asociación de variables,Sus resultados no serán extrapolables,El análisis estadístico será muy complejo,Demandará costos económicos muy elevados,A,No permitirá hallar asociación de variables
2025-II,Medicina I,1,"Usted se encuentra como serumista en Iñapari donde realiza visita domiciliaria a una adulta mayor de 82 años y que presenta lumbalgia, al indicarle medicamentos se niega refiriendo que en la zona existen plantas medicinales. ¿Cuál le indicarías?",Perejil,Tuna,Albahaca,Congona,D,Congona
2025-II,Medicina I,2,"En la atención de una paciente de 50 años con diabetes mellitus tipo 2, usted le explica que el perímetro de cintura refleja la presencia de obesidad abdominal e indirectamente el nivel de riesgo cardiovascular. En mujeres con diabetes. ¿Cuál es límite en cm del perímetro de cintura?",99,78,87,94,C,87
2025-II,Medicina I,3,"En la comunidad donde realiza su SERUMS usted observa un alta frecuencia de personas adultas mayores, según informan las autoridades desde hace una década se viene observando este hecho. Para comprender este envejecimiento poblacional y estimar su posible evolución. ¿Cuál es el mejor indicador de salud pública que debe conocer en dicha comunidad?",Tasa de migración,Índice de longevidad,Esperanza de vida,Tasa de fertilidad,D,Tasa de fertilidad
2025-II,Medicina I,4,"Paciente joven de 30 años con tratamiento anti-TB, que no mejora al tratamiento al tercer mes, no presenta deterioro clínico-radiológico. Ampliando la historia tiene antecedente de padre con diagnóstico de TBC-DR. ¿Cuál debe ser la conducta inicial del personal de salud?",Tomar una muestra de esputo para prueba de sensibilidad rápida,Debe hacerse la historia al padre,Debe iniciar tratamiento anti-TBC DR en este momento,Debe referirse al médico consultor,A,Tomar una muestra de esputo para prueba de sensibilidad rápida
2025-II,Medicina I,5,En un establecimiento de la comunidad andina acude una gestante de 39.3 semanas con antecedentes de HTA crónica y diabetes gestacional que no cuenta con todos sus controles prenatales y solicita parto vertical. Usted como médico. ¿Qué conducta debe seguir?,Se niega a prestar atención,Retorna al domicilio a la gestante,Atiende el parto vertical,Referir a centro de mayor complejidad,D,Referir a centro de mayor complejidad
2025-II,Medicina I,6,"Todo servidor público debe ...… y ...… los bienes del Estado, debiendo utilizar los que le fueran asignados para el desempeño de sus funciones de manera racional, evitando su abuso, derroche o desaprovechamiento, sin emplear o permitir que otros empleen los bienes del Estado para fines particulares o propósitos que no sean aquellos para los cuales hubieran sido específicamente destinados.",ejecutar / depositar,usar / cuidar,atesorar / utilizar,proteger / conservar,D,proteger / conservar
2025-II,Medicina I,30,¿Qué tipo de anemia tendrá el recién nacido?,Megaloblástica,Ferropénica,Por déficit de ácido fólico,Fisiológica,B,Ferropénica
2025-II,Medicina I,8,"Paciente mujer de 85 años hipertensa, antecedente de caída. Ha estado hospitalizada por insuficiencia respiratoria tipo 2 por EPOC y ha recibido antibióticos por neumonía e ITU por E coli resistente. Tiene glaucoma y tolera la VO. Examen: PA: 120/80, FC: 74 X', FR:16 X', T°: 37 °C; estable, despierta y afebril. Respecto a los cuidados del adulto mayor. ¿Cuál es la conducta inmediata a seguir?",Solo valoración nutricional antropométrica,Tamizaje de enfermedades no transmisibles,Buenas prácticas de higiene y sanitaria,Inmunizaciones para influenza y neumonía,D,Inmunizaciones para influenza y neumonía
2025-II,Medicina I,9,"¿Cómo se denomina a los eventos adversos severos que provocan alteraciones intensas en las personas, economía, sistemas sociales y el medio ambiente, causadas por sucesos naturales o generadas por la actividad humana o por la combinación de ambos que exige la ayuda externa?",Catástrofes,Desastres,Cataclismos,Emergencias,B,Desastres
2025-II,Medicina I,10,"El responsable del establecimiento de salud, está recibiendo la relación y stock de materiales e insumos para la atención de la gestante y se percata que hay productos vencidos (hace un mes), que ya no pueden ser consumidos para la atención. ¿Cuál es el procedimiento a seguir?",Solicitar a farmacia la rotación a otro establecimiento de salud,Mantenerlo en su stock hasta nuevo requerimiento,Devolver a farmacias con informe,Eliminar el producto,C,Devolver a farmacias con informe
2025-II,Medicina I,11,"En su comunidad de Huancavelica tiene un paciente masculino de 45 años sedentario, obeso, con malos hábitos dietéticos, consumidor frecuente de alcohol que lo lleva a la violencia familiar. ¿Qué determinante de salud evaluado es el más importante?",Estilos de vida,Sistema sanitario,Medio ambiente,Biología humana,A,Estilos de vida
2025-II,Medicina I,12,"Durante una campaña de salud sobre prevención del cáncer, se identifica a un adulto de 40 años completamente asintomático, pero con antecedente familiar del padre con cáncer colorrectal. ¿Cuál es la recomendación más adecuada en este caso?",Colonoscopía a partir de los 60 años,Colonoscopía cada 5 años,Prueba de sangre oculta en heces cada 5 años,Observación clínica para decidir colonoscopía,B,Colonoscopía cada 5 años
2025-II,Medicina I,13,Los niveles de categorización de los establecimientos de salud lo asigna…,la Dirección de Servicios de Salud.,la Dirección de Gestión de Establecimientos.,el Comité Técnico de Categorización.,el Comité de Médicos Auditores.,C,el Comité Técnico de Categorización.
2025-II,Medicina I,14,"Varón de 4 años procedente de Ucayali traído a su control de crecimiento y desarrollo. Examen: FC: 105 X', FR: 23 X', Tº: 37 °C; mucosas pálidas, astenia marcada, abdomen globuloso doloroso a la palpación. ¿Cuál es la conducta a seguir?",Referir al establecimiento con la capacidad resolutiva correspondiente para tratamiento médico,"Dosaje de hemoglobina o hematocrito sin examen seriado de heces, para descartar anemia",Valoración por pediatría,Medicar con antiparasitarios y sales de hierro polimaltosado,D,Medicar con antiparasitarios y sales de hierro polimaltosado
2025-II,Medicina I,15,"En su establecimiento de salud de primer nivel acude la madre con su niño de 8 años quien presenta fiebre persistente de varios días, al examen se le observa decaído, con palidez marcada y algunos equimosis y petequias. ¿Cuál es la conducta más adecuada a seguir?",Administrar sintomáticos y reevaluar en una semana,Administrar suplementos de hierro y ácido fólico,Monitorear evolución clíníca para definir conducta a seguir,Referir de inmediato a un establecimiento especializado,D,Referir de inmediato a un establecimiento especializado
